"","Selected","lon","lat","parasit_yes","parasit","bio1","bio2","bio3","bio4","bio5","bio6","bio7","bio8","bio9","bio10","bio11","bio12","bio13","bio14","bio15","bio16","bio17","bio18","bio19"
"1","CZ04_15",17.070593,48.852692,1,14.6,9.61250019073486,8.65833282470703,30.0636558532715,7.67102355957031,25.2000007629395,-3.59999990463257,28.8000011444092,18.9333343505859,1.58333337306976,18.9333343505859,0.0333333015441895,627,90,28,41.5476684570312,252,91,252,96
"2","CZ04_16",17.070593,48.852692,1,14.6,9.61250019073486,8.65833282470703,30.0636558532715,7.67102355957031,25.2000007629395,-3.59999990463257,28.8000011444092,18.9333343505859,1.58333337306976,18.9333343505859,0.0333333015441895,627,90,28,41.5476684570312,252,91,252,96
"3","CZ04_19",17.070593,48.852692,1,14.6,9.61250019073486,8.65833282470703,30.0636558532715,7.67102355957031,25.2000007629395,-3.59999990463257,28.8000011444092,18.9333343505859,1.58333337306976,18.9333343505859,0.0333333015441895,627,90,28,41.5476684570312,252,91,252,96
"4","CZ04_21_c",17.070593,48.852692,1,14.6,9.61250019073486,8.65833282470703,30.0636558532715,7.67102355957031,25.2000007629395,-3.59999990463257,28.8000011444092,18.9333343505859,1.58333337306976,18.9333343505859,0.0333333015441895,627,90,28,41.5476684570312,252,91,252,96
"5","CZ04_32",17.070593,48.852692,1,14.6,9.61250019073486,8.65833282470703,30.0636558532715,7.67102355957031,25.2000007629395,-3.59999990463257,28.8000011444092,18.9333343505859,1.58333337306976,18.9333343505859,0.0333333015441895,627,90,28,41.5476684570312,252,91,252,96
"6","DE03_DG102010",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"7","DE03_DG102013",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"8","DE03_DG102014",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"9","DE03_DG102015",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"10","DE03_DG102017",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"11","DE03_DG102019",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"12","DE03_DG102021",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"13","DE03_DG102022",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"14","DE03_DG102023",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"15","DE03_DG102025",6.1,51.233333,1,14.5,9.95833301544189,7.59999990463257,33.7777786254883,5.63942443847656,22.5,0,22.5,15.6000003814697,5.91666698455811,17,3.21666669845581,728,76,45,13.6260671615601,206,155,201,177
"16","DE03_MH103001",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"17","DE03_MH103002",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"18","DE03_MH103012",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"19","DE03_MH103016",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"20","DE03_MH103017",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"21","DE03_MH103032",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"22","DE03_MH103033",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"23","DE03_MH103034",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"24","DE03_MH103035",10.847465,49.663874,1,8.3,8.67083358764648,9.42500019073486,34.7785987854004,6.8200390625,23.7999992370605,-3.29999995231628,27.0999984741211,15.6666669845581,4.26666641235352,17.1833324432373,0.433333337306976,700,78,45,16.9354515075684,215,144,208,162
"25","DK04_110002",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"26","DK04_110003",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"27","DK04_110004",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"28","DK04_110017",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"29","DK04_110019",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"30","DK04_110022",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"31","DK04_110025",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"32","DK04_110026",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"33","DK04_110033",12.120345,55.971545,1,8.1,7.93333339691162,5.01666641235352,22.5975971221924,6.58349609375,20.1000003814697,-2.09999990463257,22.2000007629395,15.3833332061768,2.98333334922791,16.1499996185303,0.0333333425223827,577,64,28,23.1065464019775,183,100,176,123
"34","EE19_CB86701",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"35","EE19_CB86702",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"36","EE19_CB86703",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"37","EE19_CB86704",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"38","EE19_CB86705",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"39","EE19_CB86707",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"40","EE19_CB86708",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"41","EE19_CB86710",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
"42","EE19_CB86711",24.533106,58.384923,0,0,6.02500009536743,6.54999971389771,22.3549480438232,8.25110168457031,21.6000003814697,-7.69999980926514,29.2999992370605,6.53333330154419,-0.499999940395355,16.4833335876465,-3.70000004768372,693,81,31,31.2774505615234,229,106,206,144
